"ANO_OCORRENCIA","MES_OCORRENCIA","UF","MUNICIPIO","ESPECIE_ARMA","MARCA_ARMA","CALIBRE_ARMA","TIPO_OCORRENCIA","MAIS_1000_MIL_HAB","TOTAL"
"1966","03","RS","ALEGRETE","Pistola","GLOCK GMBH (ÁUSTRIA)",".380","Recuperação de Arma de Fogo","N",1
"1967","03","SP","CARAPICUÍBA","Revolver","TAURUS ARMAS S.A.",".38","Apreensão de Arma de Fogo","S",1
"1972","02","CE","JUAZEIRO DO NORTE","Revolver","TAURUS ARMAS S.A.",".38","Furto de Arma de Fogo","S",1
"1976","03","RS","TAQUARA","Espingarda","BOITO (E.R. AMANTINO & CIA)","16","Apostilada no Exercito","N",1
"1978","04","MG","SANTA MARIA DE ITABIRA","Espingarda","BOITO (E.R. AMANTINO & CIA)","36","Extravio/Perda de Arma de Fogo","N",1
"1979","12","SP","TAUBATÉ","Revolver","ROSSI (AMADEO ROSSI S.A.)",".22 LR","Furto de Arma de Fogo","S",1
"1980","01","MT","ALTA FLORESTA","Revolver","TAURUS ARMAS S.A.",".38","Extravio/Perda de Arma de Fogo","N",1
"1980","01","RS","ITAQUI","Revolver","TAURUS ARMAS S.A.",".38","Furto de Arma de Fogo","N",1
"1980","09","RS","PORTO ALEGRE","Revolver","ROSSI (AMADEO ROSSI S.A.)",".32","Furto de Arma de Fogo","S",1
"1981","03","DF","BRASÍLIA","Revolver","TAURUS ARMAS S.A.",".38","Furto de Arma de Fogo","S",1
"1982","01","MS","DOURADOS","Espingarda","A.Y.A. (AGUIRRE Y ARANZABAL)","20","Apostilada no Exercito","S",1
"1982","01","MS","DOURADOS","Espingarda","BOITO (E.R. AMANTINO & CIA)","12","Apostilada no Exercito","S",1
"1982","01","MS","DOURADOS","Rifle","MARLIN (MARLIN FIREARMS)",".22 LR","Apostilada no Exercito","S",2
"1982","04","MT","BARRA DO GARÇAS","Revolver","TAURUS ARMAS S.A.",".38","Furto de Arma de Fogo","N",1
"1983","03","SP","SANTOS","Revolver","TAURUS ARMAS S.A.",".38","Recuperação de Arma de Fogo","S",1
"1983","05","SC","JOINVILLE","Revolver","TAURUS ARMAS S.A.",".38","Furto de Arma de Fogo","S",1
"1983","06","MG","CONSELHEIRO LAFAIETE","Revolver","TAURUS ARMAS S.A.",".32","Furto de Arma de Fogo","S",1
"1983","07","RO","JI-PARANÁ","Espingarda","CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)",".32","Remetida ao Exército para destruição","S",1
"1984","04","SP","SÃO ROQUE","Pistola","TAURUS ARMAS S.A.",".22 LR","Recuperação de Arma de Fogo","N",1
"1984","08","SP","SÃO JOSÉ DO RIO PRETO","Pistola","TAURUS ARMAS S.A.","6,35mm","Recuperação de Arma de Fogo","S",1
"1984","11","SP","SANTO ANDRÉ","Revolver","TAURUS ARMAS S.A.",".32","Recuperação de Arma de Fogo","S",1
"1985","01","DF","BRASÍLIA","Rifle","MARLIN (MARLIN FIREARMS)",".22 LR","Extravio/Perda de Arma de Fogo","S",1
"1985","06","SC","PLANALTO ALEGRE","Revolver","ROSSI (AMADEO ROSSI S.A.)",".38","Extravio/Perda de Arma de Fogo","N",1
"1985","07","RS","PORTO ALEGRE","Pistola","BERETTA (PIETRO BERETTA S.P.A.)",".22 LR","Recuperação de Arma de Fogo","S",1
"1986","04","SP","BARRETOS","Revolver","ROSSI (AMADEO ROSSI S.A.)",".38","Furto de Arma de Fogo","S",1
"1986","05","DF","BRASÍLIA","Espingarda","BOITO (E.R. AMANTINO & CIA)","28","Extravio/Perda de Arma de Fogo","S",1
"1986","05","DF","BRASÍLIA","Garrucha","ROSSI (AMADEO ROSSI S.A.)",".22 LR","Extravio/Perda de Arma de Fogo","S",1
"1986","05","DF","BRASÍLIA","Revolver","TAURUS ARMAS S.A.",".38","Furto de Arma de Fogo","S",1
"1986","07","RJ","RIO DE JANEIRO","Revolver","TAURUS ARMAS S.A.",".38","Extravio/Perda de Arma de Fogo","S",1
"1986","08","DF","BRASÍLIA","Revolver","TAURUS ARMAS S.A.",".38","Recuperação de Arma de Fogo","S",1
"1986","10","RS","SANTIAGO","Revolver","TAURUS ARMAS S.A.",".32","Furto de Arma de Fogo","N",1
"1987","09","DF","BRASÍLIA","Revolver","TAURUS ARMAS S.A.",".38","Recuperação de Arma de Fogo","S",1
"1988","02","SP","RIBEIRÃO PRETO","Pistola","TAURUS ARMAS S.A.","6,35mm","Furto de Arma de Fogo","S",1
"1988","02","SP","SANTOS","Pistola","TAURUS ARMAS S.A.","7,65mm","Apreensão de Arma de Fogo","S",1
"1988","03","PE","JABOATÃO DOS GUARARAPES","Revolver","TAURUS ARMAS S.A.",".38","Furto de Arma de Fogo","S",1
