"ANO_EMISSAO","MES_MISSAO","UF","MUNICIPIO","TIPO","STATUS","ABRANGENCIA","ESPECIE_ARMA","MARCA_ARMA","CALIBRE_ARMA","SEXO","TOTAL"
"1986","03","DF","BRASÍLIA","Funcional","Vencido","Nacional","","","","M",1
"1999","11","DF","BRASÍLIA","Defesa Pessoal","Vencido","Nacional","Pistola","GLOCK GMBH (ÁUSTRIA)",".380","M",1
"2004","08","PE","CARUARU","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2004","12","GO","GOIÂNIA","Defesa Pessoal","Vencido","Estadual","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2005","01","RS","PASSO FUNDO","Defesa Pessoal","Vencido","Estadual","Revolver","TAURUS ARMAS S.A.",".38","M",1
"2005","01","RS","PORTO ALEGRE","Defesa Pessoal","Vencido","Estadual","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2005","05","RS","CANOAS","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2006","07","RJ","RIO DE JANEIRO","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","01","RJ","RIO DE JANEIRO","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","03","GO","CIDADE OCIDENTAL","Defesa Pessoal","Cancelado","Nacional","Pistola","GLOCK GMBH (ÁUSTRIA)",".380","M",1
"2007","03","MT","CUIABÁ","Defesa Pessoal","Vencido","Estadual","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","04","AL","ATALAIA","Defesa Pessoal","Vencido","Nacional","Pistola","GLOCK GMBH (ÁUSTRIA)",".380","M",1
"2007","04","AL","CAPELA","Defesa Pessoal","Vencido","Regional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","04","AL","MACEIÓ","Defesa Pessoal","Vencido","Nacional","Pistola","GLOCK GMBH (ÁUSTRIA)",".380","M",1
"2007","04","AL","MACEIÓ","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","04","CE","FORTALEZA","Defesa Pessoal","Vencido","Nacional","Revolver","ROSSI (AMADEO ROSSI S.A.)",".38","M",1
"2007","04","DF","BRASÍLIA","Defesa Pessoal","Vencido","Regional","Revolver","TAURUS ARMAS S.A.",".38","M",1
"2007","04","GO","GOIÂNIA","Defesa Pessoal","Vencido","Nacional","Pistola","GLOCK GMBH (ÁUSTRIA)",".380","M",1
"2007","04","GO","TRINDADE","Defesa Pessoal","Vencido","Nacional","Revolver","ROSSI (AMADEO ROSSI S.A.)",".38","M",1
"2007","04","MG","BELO HORIZONTE","Defesa Pessoal","Vencido","Estadual","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","04","MG","GOVERNADOR VALADARES","Defesa Pessoal","Cancelado","Nacional","Revolver","ROSSI (AMADEO ROSSI S.A.)",".38","M",1
"2007","04","MG","RUBIM","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","04","MG","SANTA LUZIA","Defesa Pessoal","Vencido","Estadual","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","04","PB","JOÃO PESSOA","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","04","PE","RECIFE","Defesa Pessoal","Vencido","Estadual","Revolver","COLT",".38","M",1
"2007","04","RJ","CABO FRIO","Defesa Pessoal","Vencido","Nacional","Revolver","TAURUS ARMAS S.A.",".38","M",1
"2007","04","RJ","SAQUAREMA","Defesa Pessoal","Vencido","Estadual","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","04","RS","PASSO FUNDO","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","04","RS","TUPANCIRETÃ","Defesa Pessoal","Vencido","Estadual","Revolver","TAURUS ARMAS S.A.",".32","M",1
"2007","04","SP","ATIBAIA","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","04","SP","CAMPINAS","Defesa Pessoal","Vencido","Nacional","Pistola","GLOCK GMBH (ÁUSTRIA)",".380","M",1
"2007","04","SP","SÃO PAULO","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","05","AC","RIO BRANCO","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","05","AL","ARAPIRACA","Defesa Pessoal","Vencido","Regional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","05","AL","MACEIÓ","Defesa Pessoal","Vencido","Nacional","Pistola","GLOCK GMBH (ÁUSTRIA)",".380","M",1
"2007","05","AL","MACEIÓ","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",3
"2007","05","AL","MACEIÓ","Defesa Pessoal","Vencido","Regional","Pistola","TAURUS ARMAS S.A.",".380","M",2
"2007","05","AL","MACEIÓ","Defesa Pessoal","Vencido","Regional","Revolver","TAURUS ARMAS S.A.",".38","M",1
"2007","05","BA","FEIRA DE SANTANA","Defesa Pessoal","Vencido","Estadual","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","05","CE","CRATO","Defesa Pessoal","Vencido","Regional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","05","CE","FORTALEZA","Defesa Pessoal","Vencido","Estadual","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","05","CE","FORTALEZA","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","05","CE","FORTALEZA","Defesa Pessoal","Vencido","Nacional","Revolver","TAURUS ARMAS S.A.",".38","M",2
"2007","05","CE","FORTALEZA","Defesa Pessoal","Vencido","Regional","Pistola","TAURUS ARMAS S.A.",".380","M",1
"2007","05","DF","BRASÍLIA","Defesa Pessoal","Vencido","Estadual","Pistola","TAURUS ARMAS S.A.","6,35mm","M",1
"2007","05","DF","BRASÍLIA","Defesa Pessoal","Vencido","Nacional","Pistola","TAURUS ARMAS S.A.",".380","M",2
"2007","05","DF","BRASÍLIA","Defesa Pessoal","Vencido","Nacional","Revolver","INA (INDÚSTRIA NACIONAL DE ARMAS)",".38","M",1
"2007","05","DF","BRASÍLIA","Defesa Pessoal","Vencido","Nacional","Revolver","ROSSI (AMADEO ROSSI S.A.)",".38","M",2
"2007","05","DF","BRASÍLIA","Defesa Pessoal","Vencido","Nacional","Revolver","SMITH & WESSON",".38","M",1
"2007","05","DF","BRASÍLIA","Defesa Pessoal","Vencido","Nacional","Revolver","TAURUS ARMAS S.A.",".38","M",2
"2007","05","ES","AFONSO CLÁUDIO","Defesa Pessoal","Vencido","Nacional","Revolver","ROSSI (AMADEO ROSSI S.A.)",".38","M",1
