"ANO_EMISSAO","MES_MISSAO","UF","MUNICIPIO","STATUS_REGISTRO","ESPECIE_ARMA","MARCA_ARMA","CALIBRE_ARMA","SEXO","CATEGORIA","TOTAL"
"2023","01","AC","CRUZEIRO DO SUL","Ativo/Válido","Pistola","TAURUS ARMAS S.A.",".380 ACP","M","Cidadão",1
"2023","01","AC","CRUZEIRO DO SUL","Ativo/Válido","Pistola","GLOCK GMBH (ÁUSTRIA)","9x19mm","M","Servidor Público(Porte por prerrogativa de função)",2
"2023","01","AC","FEIJÓ","Ativo/Válido","Espingarda","CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)","32","F","Caçador de Subsistência",1
"2023","01","AC","FEIJÓ","Ativo/Válido","Espingarda","CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)","32","M","Caçador de Subsistência",1
"2023","01","AC","MÂNCIO LIMA","Ativo/Válido","Pistola","GLOCK GMBH (ÁUSTRIA)","9x19mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AC","MARECHAL THAUMATURGO","Ativo/Válido","Espingarda","CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)","32","M","Caçador de Subsistência",1
"2023","01","AC","RIO BRANCO","Ativo/Válido","Pistola","GLOCK GMBH (ÁUSTRIA)","9x19mm","M","Servidor Público(Porte por prerrogativa de função)",4
"2023","01","AC","RIO BRANCO","Ativo/Válido","Revolver","TAURUS ARMAS S.A.",".357 Mag","M","Cidadão",1
"2023","01","AC","RIO BRANCO","Ativo/Válido","Pistola","SIG SAUER (SIG SAUER GMBH)","9x19mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AC","RIO BRANCO","Ativo/Válido","Carabina","ROSSI (AMADEO ROSSI S.A.)",".38 SPL","M","Cidadão",1
"2023","01","AC","RIO BRANCO","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",2
"2023","01","AC","RIO BRANCO","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9x19mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AC","RIO BRANCO","Ativo/Válido","Pistola","GLOCK GMBH (ÁUSTRIA)","9x19mm","M","Cidadão",2
"2023","01","AC","RIO BRANCO","Ativo/Válido","Espingarda","CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)","28","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AC","RIO BRANCO","Ativo/Válido","Pistola","TAURUS ARMAS S.A.",".380 ACP","M","Cidadão",1
"2023","01","AC","RIO BRANCO","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Servidor Público(Porte por prerrogativa de função)",3
"2023","01","AC","RODRIGUES ALVES","Ativo/Válido","Revolver","TAURUS ARMAS S.A.",".22 LR","F","Cidadão",1
"2023","01","AC","SENA MADUREIRA","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","F","Cidadão",1
"2023","01","AC","SENADOR GUIOMARD","Ativo/Válido","Pistola","TAURUS ARMAS S.A.",".380","M","Cidadão",1
"2023","01","AC","SENADOR GUIOMARD","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",1
"2023","01","AC","SENADOR GUIOMARD","Ativo/Válido","Espingarda","CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)","32","M","Cidadão",1
"2023","01","AC","XAPURI","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",2
"2023","01","AL","ARAPIRACA","Ativo/Válido","Pistola","GLOCK GMBH (ÁUSTRIA)","9x19mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","ARAPIRACA","Ativo/Válido","Pistola","GLOCK GMBH (ÁUSTRIA)","9x19mm","M","Cidadão",1
"2023","01","AL","ATALAIA","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","BATALHA","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",2
"2023","01","AL","BOCA DA MATA","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","CAJUEIRO","Ativo/Válido","Pistola","TAURUS ARMAS S.A.",".45 ACP","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","CAPELA","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","CARNEIROS","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","CHÃ PRETA","Ativo/Válido","Revolver","TAURUS ARMAS S.A.",".357 Mag","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","COLÔNIA LEOPOLDINA","Ativo/Válido","Revolver","TAURUS ARMAS S.A.",".38 SPL","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","DELMIRO GOUVEIA","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9x19mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","DELMIRO GOUVEIA","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","FLEXEIRAS","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",1
"2023","01","AL","IGREJA NOVA","Ativo/Válido","Espingarda","CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)","12","M","Cidadão",1
"2023","01","AL","INHAPI","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9x19mm","F","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","JAPARATINGA","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9x19mm","F","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","MACEIÓ","Ativo/Válido","Pistola","DFA AREX DELTA","9x19mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","MACEIÓ","Ativo/Válido","Pistola","GLOCK GMBH (ÁUSTRIA)","9x19mm","M","Servidor Público(Porte por prerrogativa de função)",5
"2023","01","AL","MACEIÓ","Ativo/Válido","Revolver","TAURUS ARMAS S.A.",".357 Mag","M","Servidor Público(Porte por prerrogativa de função)",2
"2023","01","AL","MACEIÓ","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",17
"2023","01","AL","MACEIÓ","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","F","Servidor Público(Porte por prerrogativa de função)",3
"2023","01","AL","MACEIÓ","Ativo/Válido","Pistola","TAURUS ARMAS S.A.",".380","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","MACEIÓ","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Servidor Público(Porte por prerrogativa de função)",12
"2023","01","AL","MACEIÓ","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9x19mm","M","Cidadão",1
"2023","01","AL","MACEIÓ","Ativo/Válido","Pistola","GLOCK GMBH (ÁUSTRIA)","9x19mm","M","Cidadão",1
"2023","01","AL","MACEIÓ","Ativo/Válido","Pistola","TAURUS ARMAS S.A.",".45 ACP","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","MACEIÓ","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9x19mm","M","Servidor Público(Porte por prerrogativa de função)",2
"2023","01","AL","MARECHAL DEODORO","Ativo/Válido","Espingarda","SA-KA ARMS","12","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","MATA GRANDE","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","OLHO D´ÁGUA DO CASADO","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","PALMEIRA DOS ÍNDIOS","Ativo/Válido","Revolver","TAURUS ARMAS S.A.",".357 Mag","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","PARIPUEIRA","Ativo/Válido","Espingarda","CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)","12","M","Cidadão",1
"2023","01","AL","PARIPUEIRA","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",1
"2023","01","AL","PASSO DE CAMARAGIBE","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","QUEBRANGULO","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","RIO LARGO","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",1
"2023","01","AL","SANTANA DO IPANEMA","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","SANTANA DO IPANEMA","Ativo/Válido","Pistola","MOSSBERG (O.F. MOSSBERG & SONS)","9 mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","SÃO LUÍS DO QUITUNDE","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",1
"2023","01","AL","SÃO MIGUEL DOS CAMPOS","Ativo/Válido","Revolver","TAURUS ARMAS S.A.",".357 Mag","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","SÃO MIGUEL DOS CAMPOS","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9x19mm","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AL","UNIÃO DOS PALMARES","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",1
"2023","01","AM","AUTAZES","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","F","Cidadão",1
"2023","01","AM","AUTAZES","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",1
"2023","01","AM","AUTAZES","Ativo/Válido","Espingarda","ARMSAN SILAH A.S.","12","M","Cidadão",1
"2023","01","AM","AUTAZES","Ativo/Válido","Espingarda","HUGLU","12","M","Cidadão",1
"2023","01","AM","BOCA DO ACRE","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",1
"2023","01","AM","CANUTAMA","Ativo/Válido","Rifle","CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)",".22 LR","M","Cidadão",1
"2023","01","AM","CAREIRO","Ativo/Válido","Espingarda","CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)","20","M","Cidadão",1
"2023","01","AM","COARI","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",1
"2023","01","AM","COARI","Ativo/Válido","Rifle","CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)",".22 MAGNUM","M","Cidadão",1
"2023","01","AM","COARI","Ativo/Válido","Rifle","CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)",".22 LR","M","Cidadão",1
"2023","01","AM","CODAJÁS","Ativo/Válido","Espingarda","HATSAN ARMS","12","M","Cidadão",1
"2023","01","AM","FONTE BOA","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",1
"2023","01","AM","HUMAITÁ","Ativo/Válido","Pistola","TAURUS ARMAS S.A.",".380","M","Cidadão",1
"2023","01","AM","IRANDUBA","Ativo/Válido","Rifle","CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)",".22 MAGNUM","M","Cidadão",1
"2023","01","AM","IRANDUBA","Ativo/Válido","Pistola","TAURUS ARMAS S.A.","9 mm","M","Cidadão",1
