ANO_EMISSAO;MES_MISSAO;UF;MUNICIPIO;STATUS_REGISTRO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;SEXO;CATEGORIA;TOTAL
2024;01;AC;BUJARI                             ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;28                                                ;M;Cidadão                                           ;1
2024;01;AC;CRUZEIRO DO SUL                    ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;1
2024;01;AC;RIO BRANCO                         ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;36                                                ;M;Cidadão                                           ;1
2024;01;AC;RIO BRANCO                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;3
2024;01;AC;RIO BRANCO                         ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;Servidor Público(Porte por prerrogativa de função);2
2024;01;AC;SENA MADUREIRA                     ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;20                                                ;M;Cidadão                                           ;1
2024;01;AC;SENA MADUREIRA                     ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;1
2024;01;AC;TARAUACÁ                           ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2024;01;AL;ARAPIRACA                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2024;01;AL;ARAPIRACA                          ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;Cidadão                                           ;1
2024;01;AL;COLÔNIA LEOPOLDINA                 ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Servidor Público(Porte por prerrogativa de função);1
2024;01;AL;JOAQUIM GOMES                      ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2024;01;AL;JUNQUEIRO                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2024;01;AL;MACEIÓ                             ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;M;Servidor Público(Porte por prerrogativa de função);1
2024;01;AL;MACEIÓ                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;4
2024;01;AL;MACEIÓ                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Servidor Público(Porte por prerrogativa de função);1
2024;01;AL;MACEIÓ                             ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;M;Servidor Público(Porte por prerrogativa de função);1
2024;01;AL;MAJOR ISIDORO                      ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2024;01;AL;MARAGOGI                           ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2024;01;AL;MARIBONDO                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2024;01;AL;MESSIAS                            ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2024;01;AL;SÃO MIGUEL DOS CAMPOS              ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;1
2024;01;AL;SÃO MIGUEL DOS CAMPOS              ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2024;01;AL;TAQUARANA                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2024;01;AM;BOA VISTA DO RAMOS                 ;Ativo/Válido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;Cidadão                                           ;2
