"ANO","MES","UF","MUNICIPIO","TIPO_REQUERIMENTO","DECISAO","SEXO","CATEGORIA","TOTAL"
"2019","04","AC","ACRELÂNDIA","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AC","BRASILÉIA","Requerimento de Aquisição de Arma de Fogo","Deferido","F","Cidadão",1
"2019","04","AC","BRASILÉIA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2019","04","AC","BRASILÉIA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","BUJARI","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","CRUZEIRO DO SUL","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AC","CRUZEIRO DO SUL","Requerimento de Registro de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","CRUZEIRO DO SUL","Requerimento de Porte de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","CRUZEIRO DO SUL","Requerimento de Porte de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AC","CRUZEIRO DO SUL","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","CRUZEIRO DO SUL","Requerimento de Registro de Ocorrência de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","CRUZEIRO DO SUL","Requerimento de Registro de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","EPITACIOLÂNDIA","Requerimento de Segunda Via de Documento","Deferido","M","Caçador de Subsistência",1
"2019","04","AC","EPITACIOLÂNDIA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","EPITACIOLÂNDIA","Requerimento de Segunda Via de Documento","Deferido","M","Cidadão",1
"2019","04","AC","FEIJÓ","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Caçador de Subsistência",1
"2019","04","AC","FEIJÓ","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Caçador de Subsistência",1
"2019","04","AC","JORDÃO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","MÂNCIO LIMA","Requerimento de Registro de Arma de Fogo","Deferido","F","Caçador de Subsistência",1
"2019","04","AC","MÂNCIO LIMA","Requerimento de Registro de Arma de Fogo","Deferido","M","Caçador de Subsistência",1
"2019","04","AC","MÂNCIO LIMA","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Caçador de Subsistência",1
"2019","04","AC","MANOEL URBANO","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Caçador de Subsistência",1
"2019","04","AC","MARECHAL THAUMATURGO","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Caçador de Subsistência",1
"2019","04","AC","MARECHAL THAUMATURGO","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Caçador de Subsistência",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",2
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Cidadão",2
"2019","04","AC","RIO BRANCO","Requerimento de Porte de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Registro de Ocorrência de Arma de Fogo","Deferido","M","Caçador de Subsistência",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",2
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Registro de Arma de Fogo","Indeferido","M","Caçador de Subsistência",1
"2019","04","AC","RIO BRANCO","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AC","RIO BRANCO","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2019","04","AC","RODRIGUES ALVES","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Caçador de Subsistência",1
"2019","04","AC","RODRIGUES ALVES","Requerimento de Registro de Arma de Fogo","Deferido","M","Caçador de Subsistência",1
"2019","04","AC","SENA MADUREIRA","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","SENA MADUREIRA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","SENA MADUREIRA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","SENADOR GUIOMARD","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Caçador de Subsistência",1
"2019","04","AC","SENADOR GUIOMARD","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AC","SENADOR GUIOMARD","Requerimento de Registro de Ocorrência de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","SENADOR GUIOMARD","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","SENADOR GUIOMARD","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AC","SENADOR GUIOMARD","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","TARAUACÁ","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","TARAUACÁ","Requerimento de Registro de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","TARAUACÁ","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AC","TARAUACÁ","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Caçador de Subsistência",1
"2019","04","AC","TARAUACÁ","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AC","XAPURI","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AL","ANADIA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","ARAPIRACA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",2
"2019","04","AL","ARAPIRACA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","ARAPIRACA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","ARAPIRACA","Requerimento de Porte de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AL","ARAPIRACA","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","ARAPIRACA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","ARAPIRACA","Requerimento de Registro de Ocorrência de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","BATALHA","Requerimento de Porte de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","CAMPO ALEGRE","Requerimento de Porte de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","CAMPO GRANDE","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2019","04","AL","CAPELA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","CAPELA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","COQUEIRO SECO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","COQUEIRO SECO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","CORURIPE","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","CORURIPE","Requerimento de Transferência de Registro de Arma de Fogo","Indeferido","M","Cidadão",1
"2019","04","AL","DELMIRO GOUVEIA","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","IGACI","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","IGREJA NOVA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","F","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","F","Servidor Público(Porte por prerrogativa de função)",1
"2019","04","AL","MACEIÓ","Requerimento de Registro de Ocorrência de Arma de Fogo","Deferido","F","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","F","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2019","04","AL","MACEIÓ","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Porte de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2019","04","AL","MACEIÓ","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",2
"2019","04","AL","MACEIÓ","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",3
"2019","04","AL","MACEIÓ","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2019","04","AL","MACEIÓ","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Porte de Arma de Fogo","Deferido","M","Cidadão",1
"2019","04","AL","MACEIÓ","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",2
