ANO;MES;UF;MUNICIPIO;TIPO_REQUERIMENTO;DECISAO;SEXO;CATEGORIA;TOTAL
2025;10;PA;PRAINHA                            ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;04;AC;FEIJÓ                              ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;F;Caçador de Subsistência                           ;1
2025;08;SP;SUZANO                             ;Requerimento de Registro de Arma de Fogo                 ;Indeferido   ;M;Caçador de Subsistência                           ;1
2025;09;PA;ALENQUER                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;06;PA;PLACAS                             ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;05;PA;ALENQUER                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;07;PA;ALENQUER                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;04;AC;SANTA ROSA DO PURUS                ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;02;PA;SANTARÉM                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;06;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;05;PA;SANTARÉM                           ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;1
2025;09;PA;PRAINHA                            ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;F;Caçador de Subsistência                           ;1
2025;06;AC;CRUZEIRO DO SUL                    ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;F;Caçador de Subsistência                           ;1
2025;07;AC;FEIJÓ                              ;Requerimento de Transferência de Registro de Arma de Fogo;Deferido     ;M;Caçador de Subsistência                           ;1
2025;11;PA;PRAINHA                            ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;01;PA;SANTARÉM                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;06;AC;FEIJÓ                              ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;05;PA;SANTARÉM                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;07;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;F;Caçador de Subsistência                           ;1
2025;11;AC;MARECHAL THAUMATURGO               ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;1
2025;04;AM;CAREIRO                            ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;03;PA;SANTARÉM                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;05;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;04;AC;FEIJÓ                              ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;1
2025;09;PA;RURÓPOLIS                          ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;05;PA;ALENQUER                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;03;PA;SANTARÉM                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;05;PA;ALENQUER                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;01;PA;SANTARÉM                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;05;AC;CRUZEIRO DO SUL                    ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;1
2025;08;PA;SANTARÉM                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;02;AC;FEIJÓ                              ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;03;PA;CURUÁ                              ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;F;Caçador de Subsistência                           ;1
2025;04;PA;ALENQUER                           ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;1
2025;01;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;12;PA;SANTARÉM                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;F;Caçador de Subsistência                           ;1
2025;08;PA;MONTE ALEGRE                       ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;08;PA;SANTARÉM                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;12;PA;PLACAS                             ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;08;AC;RIO BRANCO                         ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;07;PA;ALENQUER                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;05;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;09;PA;SANTARÉM                           ;Requerimento de Transferência de Registro de Arma de Fogo;Deferido     ;M;Caçador de Subsistência                           ;1
2025;08;AM;RIO PRETO DA EVA                   ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;1
2025;12;PA;BELTERRA                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;09;PA;SANTARÉM                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
