ANO_EMISSAO;MES_MISSAO;UF;MUNICIPIO;STATUS_REGISTRO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;SEXO;CATEGORIA;TOTAL
2026;01;AC;ASSIS BRASIL                       ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2026;01;AC;CRUZEIRO DO SUL                    ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;9x19mm                                            ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AC;RIO BRANCO                         ;Ativo/Válido;Carabina                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.357 Mag                                          ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AC;RIO BRANCO                         ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;32                                                ;M;Cidadão                                           ;1
2026;01;AC;RIO BRANCO                         ;Ativo/Válido;Pistola                                           ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AC;RIO BRANCO                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AC;SENA MADUREIRA                     ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;32                                                ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AC;SENA MADUREIRA                     ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AL;ARAPIRACA                          ;Ativo/Válido;Fuzil                                             ;TAURUS ARMAS S.A.                                                     ;5,56x45mm                                         ;M;Servidor Público(Porte por prerrogativa de função);2
2026;01;AL;ARAPIRACA                          ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;9x19mm                                            ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AL;ARAPIRACA                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;2
2026;01;AL;CAMPO ALEGRE                       ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2026;01;AL;CAMPO ALEGRE                       ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AL;COITÉ DO NÓIA                      ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AL;DELMIRO GOUVEIA                    ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;9x19mm                                            ;M;Servidor Público(Porte por prerrogativa de função);2
2026;01;AL;GIRAU DO PONCIANO                  ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AL;IGREJA NOVA                        ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2026;01;AL;LIMOEIRO DE ANADIA                 ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2026;01;AL;MACEIÓ                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;3
2026;01;AL;MACEIÓ                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;F;Servidor Público(Porte por prerrogativa de função);1
2026;01;AL;MACEIÓ                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;M;Servidor Público(Porte por prerrogativa de função);5
2026;01;AL;MACEIÓ                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9x19mm                                            ;F;Servidor Público(Porte por prerrogativa de função);1
2026;01;AL;MACEIÓ                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9x19mm                                            ;M;Servidor Público(Porte por prerrogativa de função);2
2026;01;AL;MARECHAL DEODORO                   ;Ativo/Válido;Carabina                                          ;BRIGADE (Brigade Manufacturing)                                       ;9x19mm                                            ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AL;MATRIZ DE CAMARAGIBE               ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;2
2026;01;AL;PALMEIRA DOS ÍNDIOS                ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AL;PENEDO                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2026;01;AL;PILAR                              ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;F;Cidadão                                           ;1
2026;01;AL;PORTO CALVO                        ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2026;01;AL;SÃO LUÍS DO QUITUNDE               ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2026;01;AL;SÃO MIGUEL DOS CAMPOS              ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;F;Cidadão                                           ;1
2026;01;AL;SÃO MIGUEL DOS CAMPOS              ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2026;01;AL;ÁGUA BRANCA                        ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9x19mm                                            ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AM;CAREIRO                            ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;28                                                ;M;Cidadão                                           ;1
2026;01;AM;COARI                              ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;Cidadão                                           ;1
2026;01;AM;EIRUNEPÉ                           ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Servidor Público(Porte por prerrogativa de função);1
2026;01;AM;IRANDUBA                           ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;3
2026;01;AM;JAPURÁ                             ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;20                                                ;M;Cidadão                                           ;1
2026;01;AM;MANACAPURU                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2026;01;AM;MANACAPURU                         ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;Cidadão                                           ;1
2026;01;AM;MANAUS                             ;Ativo/Válido;Carabina/Fuzil                                    ;FIRE EAGLE                                                            ;5,56x45mm                                         ;M;Servidor Público(Porte por prerrogativa de função);1
